SNP_ID	DiseaseTrait
rs17011628	No associated clinical information for this SNP
rs9286760	No associated clinical information for this SNP
rs17163479	No associated clinical information for this SNP
rs17163483	No associated clinical information for this SNP
rs17163521	No associated clinical information for this SNP
rs34194482	No associated clinical information for this SNP
rs2609379	No associated clinical information for this SNP
rs1339461	No associated clinical information for this SNP
rs17163737	No associated clinical information for this SNP
rs851152	No associated clinical information for this SNP
rs885279	No associated clinical information for this SNP
rs17577025	No associated clinical information for this SNP
rs1713218	No associated clinical information for this SNP
rs17163777	No associated clinical information for this SNP
rs35996176	No associated clinical information for this SNP
rs35727959	No associated clinical information for this SNP
rs866096	No associated clinical information for this SNP
rs12141995	No associated clinical information for this SNP
rs7526539	No associated clinical information for this SNP
rs11588810	No associated clinical information for this SNP
rs11578784	No associated clinical information for this SNP
rs11261280	No associated clinical information for this SNP
rs4481842	No associated clinical information for this SNP
rs12036423	No associated clinical information for this SNP
rs17541382	No associated clinical information for this SNP
rs12745781	No associated clinical information for this SNP
rs4325124	No associated clinical information for this SNP
rs17162209	No associated clinical information for this SNP
rs6693911	No associated clinical information for this SNP
rs7516954	Spread type: Butter and margarine vs never use spread (UKB data field 1428)
rs12030569	No associated clinical information for this SNP
rs10495213	No associated clinical information for this SNP
rs12568612	No associated clinical information for this SNP
rs7545965	No associated clinical information for this SNP
rs6693884	No associated clinical information for this SNP
rs12040633	No associated clinical information for this SNP
rs4551564	No associated clinical information for this SNP
rs7513964	No associated clinical information for this SNP
