SNP_ID	Chromosome_Number	Chromosome_Position	Genes	DiseaseTrait
rs2031134	1	227696764	No gene information found	No associated clinical information for this SNP
rs12138229	1	227712437	No gene information found	No associated clinical information for this SNP
rs12097239	1	227724773	No gene information found	No associated clinical information for this SNP
rs10916205	1	227769890	SNAP47	Waist-hip index
rs754224	1	227775790	SNAP47	No associated clinical information for this SNP
rs7515849	1	228000309	No gene information found	No associated clinical information for this SNP
rs708122	1	228029296	WNT3A	Height
rs7539762	1	228188926	No gene information found	No associated clinical information for this SNP
rs12142165	1	228195501	No gene information found	No associated clinical information for this SNP
rs16848404	1	228224836	OBSCN	No associated clinical information for this SNP
rs12063103	1	228482143	No gene information found	No associated clinical information for this SNP
rs1925716	1	228519838	No gene information found	No associated clinical information for this SNP
rs12407568	1	228647582	No gene information found	No associated clinical information for this SNP
rs7518941	1	228724100	No gene information found	No associated clinical information for this SNP
rs12749124	1	228809945	No gene information found	No associated clinical information for this SNP
rs2748103	1	228836498	No gene information found	No associated clinical information for this SNP
rs241359	1	228870086	No gene information found	No associated clinical information for this SNP
rs1341715	1	228883169	No gene information found	No associated clinical information for this SNP
rs1493081	1	228894781	No gene information found	No associated clinical information for this SNP
rs2236591	1	228903723	No gene information found	No associated clinical information for this SNP
rs12078733	1	228906127	No gene information found	No associated clinical information for this SNP
rs1493082	1	228921143	No gene information found	No associated clinical information for this SNP
rs519791	1	228965082	No gene information found	No associated clinical information for this SNP
rs10916412	1	229057384	No gene information found	No associated clinical information for this SNP
rs652014	1	229064645	No gene information found	No associated clinical information for this SNP
rs12089229	1	229094028	LINC02814	Leukoderma in response to rhododendrol
rs10916424	1	229127095	LINC02814	No associated clinical information for this SNP
rs9726077	1	229136743	LINC02814	No associated clinical information for this SNP
rs11583419	1	229145457	LINC02814	No associated clinical information for this SNP
rs9701452	1	229155160	LINC02814	No associated clinical information for this SNP
rs9435847	1	229157610	LINC02814	No associated clinical information for this SNP
rs12065314	1	229202342	LINC02814	No associated clinical information for this SNP
rs9435858	1	229205005	LINC02814	No associated clinical information for this SNP
rs932927	1	229227129	No gene information found	No associated clinical information for this SNP
rs342818	1	229231368	No gene information found	No associated clinical information for this SNP
rs2036775	1	229241291	No gene information found	No associated clinical information for this SNP
rs12132864	1	229243741	No gene information found	No associated clinical information for this SNP
rs9435806	1	229320129	No gene information found	No associated clinical information for this SNP
rs237807	1	229328874	CCSAP	No associated clinical information for this SNP
rs238102	1	229347401	No gene information found	No associated clinical information for this SNP
rs11580918	1	229395677	No gene information found	No associated clinical information for this SNP
rs867325	1	229409338	No gene information found	No associated clinical information for this SNP
rs6671385	1	229506905	NUP133	No associated clinical information for this SNP
rs4148760	1	229538187	ABCB10	No associated clinical information for this SNP
rs927204	1	229545259	ABCB10	No associated clinical information for this SNP
rs3738187	1	229547517	ABCB10	No associated clinical information for this SNP
rs12403112	1	229663127	No gene information found	No associated clinical information for this SNP
rs12738647	1	229667907	No gene information found	No associated clinical information for this SNP
rs4925465	1	229691636	No gene information found	No associated clinical information for this SNP
rs4112199	1	229698554	No gene information found	No associated clinical information for this SNP
rs1889192	1	229714909	No gene information found	No associated clinical information for this SNP
rs1931330	1	229752179	No gene information found	No associated clinical information for this SNP
rs7548102	1	229852964	LINC01682	No associated clinical information for this SNP
rs10495282	1	229861007	LINC01682	No associated clinical information for this SNP
rs4925524	1	229927677	No gene information found	No associated clinical information for this SNP
rs11808683	1	229940043	No gene information found	No associated clinical information for this SNP
rs6664857	1	229999173	No gene information found	No associated clinical information for this SNP
rs4295887	1	230016336	No gene information found	No associated clinical information for this SNP
rs10735526	1	230022987	No gene information found	No associated clinical information for this SNP
rs4847027	1	230033216	No gene information found	No associated clinical information for this SNP
rs877968	1	230044700	No gene information found	No associated clinical information for this SNP
rs12406877	1	230053247	No gene information found	No associated clinical information for this SNP
rs6673349	1	230075651	GALNT2	No associated clinical information for this SNP
rs11122300	1	230085418	GALNT2	No associated clinical information for this SNP
rs11122314	1	230100264	GALNT2	No associated clinical information for this SNP
rs7550262	1	230112992	GALNT2	No associated clinical information for this SNP
rs10864731	1	230220761	GALNT2	No associated clinical information for this SNP
rs12076454	1	230242917	GALNT2	No associated clinical information for this SNP
rs11122474	1	230242936	GALNT2	No associated clinical information for this SNP
rs3811485	1	230262699	GALNT2	No associated clinical information for this SNP
rs7552730	1	230264785	GALNT2	No associated clinical information for this SNP
rs12757317	1	230283562	No gene information found	No associated clinical information for this SNP
rs6687864	1	230285976	No gene information found	No associated clinical information for this SNP
rs751645	1	230293397	No gene information found	2'-deoxyuridine levels in elite athletes
rs11122486	1	230300869	No gene information found	No associated clinical information for this SNP
rs12133061	1	230310810	No gene information found	No associated clinical information for this SNP
rs11586112	1	230318928	PGBD5	No associated clinical information for this SNP
